LAT;;;;;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534
LON;;;;;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880
ASL;;;;;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000
CITY;;;;;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;%;%;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;10;30;06;00;9.19;71.00;1021.90;0.00;0.00;18.00;100.00;0.00;13.34;86.91
2019;10;30;07;00;9.00;72.00;1021.60;0.00;10.00;60.00;100.00;0.00;13.00;85.24
2019;10;30;08;00;8.71;74.00;1021.70;0.00;19.00;88.00;100.00;1.78;14.04;88.53
2019;10;30;09;00;8.68;74.00;1023.00;0.00;19.00;100.00;100.00;33.82;14.40;90.00
2019;10;30;10;00;8.59;78.00;1022.80;0.00;12.00;100.00;100.00;55.18;12.96;91.59
2019;10;30;11;00;9.46;76.00;1022.70;0.00;1.00;81.00;100.00;168.21;13.72;94.51
2019;10;30;12;00;10.15;73.00;1022.00;0.00;0.00;85.00;100.00;225.17;12.65;94.90
2019;10;30;13;00;11.11;70.00;1021.70;0.00;11.00;0.00;100.00;204.70;10.59;99.78
2019;10;30;14;00;11.17;70.00;1021.70;0.00;6.00;57.00;100.00;133.50;10.39;75.96
2019;10;30;15;00;10.84;72.00;1021.60;0.00;8.00;6.00;100.00;89.89;10.18;81.87
2019;10;30;16;00;10.75;73.00;1021.40;0.00;5.00;8.00;100.00;89.89;12.07;79.70
2019;10;30;17;00;10.42;73.00;1021.20;0.00;1.00;28.00;100.00;67.64;11.53;88.21
2019;10;30;18;00;10.44;74.00;1021.00;0.00;20.00;0.00;100.00;7.12;10.85;95.71
2019;10;30;19;00;10.46;75.00;1020.70;0.00;15.00;0.00;100.00;0.00;10.54;97.85
2019;10;30;20;00;10.45;77.00;1020.60;0.00;67.00;31.00;100.00;0.00;10.37;110.32
2019;10;30;21;00;10.35;78.00;1021.00;0.00;100.00;83.00;100.00;0.00;10.31;114.78
2019;10;30;22;00;10.27;79.00;1020.90;0.00;100.00;100.00;100.00;0.00;10.04;104.53
2019;10;30;23;00;10.17;80.00;1020.80;0.00;100.00;100.00;100.00;0.00;9.83;98.43
